Longitude,Latitude,Name,Address,City,State,ZIP
-72.519871,42.3774,Amherst - Amherst MA  (W),71 North Pleasant Street,Amherst,MA,01002
-72.576485,42.174793,"Chicopee - Chicopee MA  (D, W)",620 Memorial Dr,Chicopee,MA,01020
-72.513806,42.066164,E. Longmeadow Center - East Longmeadow MA  (W),42 N. Main Street,East Longmeadow,MA,01028
-72.6401,42.1674,Holyoke Mall - Holyoke MA,50 Holyoke Street,Holyoke,MA,01040
-72.63367,42.328757,Stop & Shop - Northampton #787 - Northampton MA,228 King St.,Northampton,MA,01060
-72.632545,42.317836,Northampton - Northampton MA  (W),211 Main Street,Northampton,MA,01060
-72.727842,42.114416,Westfield  East Main St. - Westfield MA  (D),280A East Main Street,Westfield,MA,01085
-72.584997,42.095758,Springfield  E. Columbus Blvd. - Springfield MA  (D),1089 East Columbus Ave.,Springfield,MA,01105
-72.557076,42.056771,Longmeadow Shops/Springfield - Longmeadow MA  (W),708 Bliss Road,Longmeadow,MA,01106
-73.1994,42.4653,"Pittsfield - Pittsfield MA  (D, W)",555 Hubbard Avenue,Pittsfield,MA,01201
-73.183175,42.544936,Target Lanesborough T-2127 - Lanesboro MA,655 Cheshire Rd.,Lanesboro,MA,01237
-71.737906,42.525124,"Leominster  Commercial Road - Leominster MA  (D, W)",14 Commercial Rd.,Leominster,MA,01453
-71.7136,42.5219,Target Leominster T-1965 - Leominster MA,86 Orchard Hill Park Dr,Leominster,MA,01453
-71.831689,42.208478,Auburn Centre - Auburn MA  (W),434A Southbridge Street (Route 12),Auburn,MA,01501
-71.6112,42.271,Roche Bros - Westboro #119 - Westboro MA,1100 Union St.,Westboro,MA,01581
-71.61098,42.28485,Westborough Shopping Center - Westborough MA  (W),140 Turnpike St.,Westborough,MA,01581
-71.807395,42.288592,Worcester  One West Boylston Street - Worcester MA  (W),1 West Boylston Street,Worcester,MA,01605
-71.793781,42.266083,"Worcester  East Central Street - Worcester MA  (D, W)",11 East Central Street,Worcester,MA,01605
-71.423,42.300185,Wild Harvest/Framingham - Framingham MA  (W),25 Prospect St.,Framingham,MA,01701
-71.396735,42.298976,Framingham (B&N) - Framingham MA  (W),1 Worcester Road,Framingham,MA,01701
-71.453747,42.474883,Acton  Kelly's Corner - Acton MA  (W),411 Massachusettes Ave.,Acton,MA,01720
-71.272923,42.489546,Bedford  Great Road - Bedford MA  (W),186 Great Road,Bedford,MA,01730
-71.356227,42.455855,Concord - Concord MA  (W),159 Sudbury Road,Concord,MA,01742
-71.615698,42.353245,Solomon Pond Mall - Marlborough MA  (W),601 Donald Lynch Boulevard,Marlborough,MA,01752
-71.589958,42.338955,Marlborough - Marlborough MA  (W),189 Boston Post Road West,Marlborough,MA,01752
-71.545937,42.346732,Marlborough  South Bolton St. - Marlborough MA  (W),23 South Bolton Street,Marlborough,MA,01752
-71.38647,42.299011,Natick Reloc - Natick MA  (W),1346 Worcester Road,Natick,MA,01760
-71.52031,42.29229,Southborough - Southborough MA  (W),154 Turnpike Road  Rte 9,Southborough,MA,01772
-71.425057,42.360197,Sudbury - Sudbury MA  (W),513 Boston Post Road,Sudbury,MA,01776
-71.364,42.3168,Wayland - Wayland MA  (W),44 Main Street,Wayland,MA,01778
-71.133747,42.511386,"Woburn  Commerce Way - Woburn MA  (D, W)",99 Commerce Way,Woburn,MA,01801
-71.12686,42.496136,Woburn  West Cummings Park - Woburn MA  (W),200 W. Cummings Park,Woburn,MA,01801
